  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
   1   0.429371        2     2    0.552884        2       1999.65         42.5714  40.1102    26.44       40        2     16.9       34       42  12.666  11.351        0.024    0.0501161          0.024        0.032   0.173629      0.603  11.726  12.063        0.017   503912        0        1.36569            0            0       3.70251         0           2565.36
   2   0.43014         2     2    0.553785        3       2381.46         42.5103  40.5458    10.99       42        2     37.1       30       42  12.518  11.511        0.019   -0.103785           0.018        0.018   0.0198596     0.45   11.791  12.068        0.018   501974        0        0.162425           0            0       3.70751         0            880.19
   1   0.434452        3     2    0.558853        2       2085.65         42.5702  40.7157    51.77       42        2     12.6       34       42  13.17   10.964        0.019    0.515147           0.019        0.026   0.639548      1.074  11.478  12.096        0.016   501419        0        4.59364            0            0       3.73551         0            208.48
   1   0.438308        0     2    0.563411        2       2781.77         42.425   40.1685    40.44       40        2     30         25       42  99.999  11.046        0.021   87.3146             0.021        0.029  87.4397       87.878  11.577  12.121        9.999   503611        9.999    1.21286e+23        0            0       3.76051         0           2366.78
   1   0.440625        8     2    0.566162       10        553.29         42.8564  40.559     14.16       42        2     23         51       42  12.877  11.367        0.018    0.174838           0.01         0.022   0.300375      0.741  11.724  12.136        0.01      4704        0.009    2.14805            0            0       3.77551         0.003        770
   2   0.441707        2     2    0.56745         2       -507.87         43.0567  40.5446    10.7        42        2     24.3        3       43  12.655  11.497        0.018   -0.0554498          0.019        0.017   0.0702926     0.512  11.819  12.143        0.018   501904        0        0.573833           0            0       3.78251         0            791.74
   6   0.449148       12     9    0.576347       18       1136.78         42.7439  40.4678    52.28       41        2     37.8       44       42  12.695  11.63         0.009   -0.0723467          0.008        0.012   0.054852      0.504  11.908  12.191        0.008     6978        0.017    0.445645           0.008        0.033   3.83051         0.011       1142.98
   2   0.449303        9     2    0.576533       15       1426.73         42.6886  40.4496    47.92       41        2     18.8       41       42  12.816  11.491        0.019    0.0474667          0.01         0.024   0.174697      0.624  11.837  12.192        0.01      7432        0.002    1.339              0            0       3.83151         0.001       1223.34
   2   0.45226         1     1    0.580088        2       2206.52         42.5396  40.39      33.59       41        2     22.5       32       42  12.795  11.492        0.035    0.00391171         0.023        0.026   0.13174       0.584  11.865  12.211        0.018   502633        0        1.03387            0            0       3.85051         0           1482.05
   2   0.455693        2     2    0.584227        2       2068.24         42.5729  40.6909    45.83       42        2     22.4       34       42  12.746  11.596        0.019   -0.0712274          0.018        0.018   0.0573073     0.513  11.917  12.233        0.018   501505        0        0.462326           0            0       3.87251         0            304.51
