  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
   3   1.34662         2     3    1.43249         3        736.94         42.8108  40.1298    31.15       40        2     38.7       48       42  17.995  16.729        0.019   -0.851488           0.02         0.02   -0.765623      0.581  17.074  17.414        0.022   503722        0       -5.89758            0            0       9.05351         0           2441.9
  17   1.34662        10    10    1.43249        18        740.35         42.8165  40.3716    29.19       41        2     59.2       48       42  17.992  16.723        0.011   -0.854488           0.011        0.011  -0.768623      0.578  17.064  17.414        0.012     8979        0.01    -5.91944            0.005        0.012   9.05351         0.004       1503.23
   3   1.34675         2     3    1.43259         2       2077.83         42.5715  40.7081    49.95       42        2     17.3       34       42  18.143  16.577        0.021   -0.704588           0.021        0.022  -0.618755      0.728  16.995  17.415        0.022   501446        0       -4.94059            0            0       9.05451         0            237.76
  16   1.34675         9    10    1.43259        18        872.33         42.7882  40.2433    58.39       40        2     17.5       47       42  18.042  16.651        0.012   -0.805588           0.011        0.011  -0.719755      0.627  17.027  17.415        0.013    11677        0.018   -5.577              0.006        0.009   9.05451         0.011       2006.24
   2   1.34702         2     2    1.43279         2       2817.96         42.4237  40.3815    31.55       41        2     25.4       25       42  18.412  16.187        0.025   -0.437789           0.034        0.033  -0.352017      0.995  16.798  17.417        0.035   502685        0       -3.13565            0            0       9.05651         0           1536.11
   2   1.34702         0     3    1.43279         1       -564.99         43.0762  40.9417    46          43        2     34.3        4       43  99.999  16.295        0.019   81.1492             0.068        0.024  81.235        82.582  16.852  17.417        9.999   500156        9.999    6.0844e+22         0            0       9.05651         0           -744.83
   3   1.34702         2     3    1.43279         3       -517.68         43.0484  40.1401    33.62       40        2     54.1        2       43  18.207  16.464        0.019   -0.642789           0.019        0.02   -0.557017      0.79   16.93   17.417        0.027   503590        0       -4.57054            0            0       9.05651         0           2355.55
   3   1.34715         2     3    1.43289         2       1678.12         42.65    40.8417    22          43        2     59.9       38       42  17.976  16.649        0.019   -0.874889           0.021        0.023  -0.789149      0.558  17.05   17.418        0.021   500852        0       -6.07319            0            0       9.05751         0           -294
  17   1.34728         9    10    1.43299        18       1924.1          42.5937  40.418     40.32       41        2     37.3       35       42  17.946  16.686        0.011   -0.905989           0.011        0.011  -0.82028       0.527  17.065  17.419        0.013     8198        0.007   -6.31357            0.001        0.001   9.05851         0.007       1363.31
   3   1.34728         0     3    1.43299         3       2607.51         42.4567  40.1232    29.56       40        2     24.2       27       42  99.999  16.322        0.019   81.147              0.022        0.022  81.2327       82.58   16.87   17.419        9.999   503860        9.999    6.08276e+22        0            0       9.05851         0           2537.34
   3   1.3478          2     3    1.43339         3       1610.57         42.6639  40.8996    35.91       43        2     50.2       39       42  18.843  15.397        0.018   -0.0133901          0.021        0.018   0.0721954     1.42   16.448  17.423        0.03    500504        0        0.813882           0            0       9.06251         0           -521.33
   2   1.34794         2     3    1.43349         3        508.79         42.8527  40.0868    20.83       40        2      9.8       51       42  18.042  16.653        0.019   -0.81549            0.02         0.023  -0.729936      0.618  17.061  17.424        0.025   503968        0       -5.65002            0            0       9.06351         0           2600.36
   2   1.34807         1     2    1.43359         2       -733.96         43.0985  40.5007     0.17       42        2     54.5        5       43  18.232  16.409        0.031   -0.62659            0.041        0.026  -0.541067      0.807  16.9    17.425        0.043   502049        0       -4.4771             0            0       9.06451         0            953.95
   3   1.3482          3     3    1.43369         3       -392.44         43.0212  40.0157     3.77       40        2     16.5        1       43  18.064  16.604        0.018   -0.795691           0.02         0.019  -0.710198      0.638  17.007  17.426        0.025   504317        0       -5.51817            0            0       9.06551         0           2841.39
